"","P Values"
"USP43",1
"SHANK3",0.0841968918402816
"PPP1R1B",0.215988435279254
"ORC1",1.26503897930303e-07
"INPP5B",0.175905537827687
"MYBL2",1.02300588270597e-16
"EXO1",1.09518837325697e-10
"DYNLL1",7.75999235981985e-07
"CENPF",1.60885196765221e-13
"B4GALT1",0.0619497452854219
