"","P Values"
"USP43",0.503579061745059
"SHANK3",0.103698103949372
"PPP1R1B",0.6516193930956
"ORC1",0.0225557966304455
"INPP5B",0.0192439932519025
"MYBL2",0.0508581622980812
"EXO1",0.119665903282986
"DYNLL1",0.758177563489511
"CENPF",0.0509546372432677
"B4GALT1",0.348389652451222
