"","P Values"
"USP43 CpG Site 6",0.00619283564522705
"USP43 CpG Site 8",0.0252377940590019
"INPP5B CpG Site 1",0.0264161185100287
"INPP5B CpG Site 13",0.00552213474635997
"INPP5B CpG Site 14",0.00953941980061174
"INPP5B CpG Site 15",0.0409710853631994
"INPP5B CpG Site 16",0.0326582193091285
"DYNLL1 CpG Site 1",0.0142518639900139
"CENPF CpG Site 16",0.0313284906700832
